           1     1.60534     1.60534           0
           2     1.64981     1.62758   0.0157243
           3     1.47697     1.57737   0.0423102
           4     1.68295     1.60377   0.0391077
           5     1.51013     1.58504   0.0354875
           6     1.55821     1.58057   0.0298532
           7     1.47535     1.56554   0.0291276
           8     1.56404     1.56535   0.0254872
           9     1.49646      1.5577   0.0237769
          10     1.47574      1.5495   0.0227679
          11     1.68004     1.56137   0.0235891
          12     1.53715     1.55935   0.0217095
          13     1.55386     1.55893   0.0200437
          14     1.44991     1.55114   0.0200676
          15     1.62306     1.55594   0.0192941
          16     1.48507     1.55151   0.0185897
          17     1.55404     1.55165   0.0174968
          18     1.67676      1.5586   0.0178518
          19     1.51833     1.55648   0.0170377
          20     1.58204     1.55776   0.0162336
