           1     1.36562     1.36562           0
           2     1.35099     1.35831  0.00517367
           3     1.33537     1.35066  0.00713099
           4     1.37506     1.35676   0.0075164
           5     1.38326     1.36206  0.00765644
           6     1.45813     1.37807   0.0159488
           7      1.3658     1.37632   0.0137665
           8     1.34124     1.37193   0.0127247
           9     1.36529      1.3712   0.0113322
          10     1.41138     1.37521    0.010888
          11     1.33921     1.37194   0.0103785
          12      1.2982      1.3658   0.0111861
          13     1.41834     1.36984   0.0110318
          14     1.48039     1.37773   0.0127609
          15     1.39325     1.37877    0.011952
          16     1.34548     1.37669   0.0113846
          17     1.35002     1.37512   0.0108225
          18     1.34172     1.37326   0.0103791
          19     1.35136     1.37211  0.00989661
          20     1.37967     1.37249  0.00940899
