#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.39516     1.39516           0
           2     1.33593     1.36555    0.020939
           3     1.33971     1.35693   0.0156309
           4     1.33309     1.35097   0.0128091
           5     1.35116     1.35101   0.0102473
           6      1.3372     1.34871  0.00879397
           7     1.34776     1.34857  0.00753874
           8     1.32726     1.34591  0.00705154
           9     1.33067     1.34421  0.00646818
          10     1.35079     1.34487  0.00585472
          11     1.33411     1.34389  0.00540362
          12     1.35421     1.34475  0.00502126
          13     1.35708      1.3457  0.00472368
          14     1.34984       1.346  0.00439551
          15     1.36374     1.34718  0.00425861
          16     1.36086     1.34804  0.00407738
          17      1.3295     1.34694  0.00398069
          18     1.37384     1.34844  0.00403021
          19     1.34346     1.34818  0.00382661
          20     1.35419     1.34848  0.00364705
