#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.24935    -5.24935           0
           2    -5.19069    -5.22002   0.0207404
           3    -5.19248    -5.21084   0.0157278
           4    -5.18716    -5.20492   0.0128617
           5    -5.20528    -5.20499   0.0102896
           6     -5.1913    -5.20271  0.00882382
           7    -5.20182    -5.20258   0.0075642
           8    -5.18024    -5.19979  0.00711552
           9    -5.18348    -5.19798  0.00655146
          10    -5.20423     -5.1986  0.00592606
          11    -5.18739    -5.19758  0.00547433
          12     -5.2072    -5.19838  0.00507643
          13    -5.21084    -5.19934  0.00477546
          14    -5.20312    -5.19961  0.00444196
          15    -5.21757    -5.20081  0.00430422
          16    -5.21387    -5.20163   0.0041119
          17     -5.1838    -5.20058  0.00400147
          18    -5.22884    -5.20215  0.00407571
          19    -5.19808    -5.20193  0.00386681
          20    -5.20821    -5.20225  0.00368619
