#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.85419    -3.85419           0
           2    -3.85475    -3.85447 0.000198608
           3    -3.85277    -3.85391 0.000481046
           4    -3.85407    -3.85395 0.000362471
           5    -3.85412    -3.85398 0.000291667
           6     -3.8541      -3.854 0.000243743
           7    -3.85406    -3.85401 0.000209065
           8    -3.85298    -3.85388 0.000218726
           9    -3.85282    -3.85376 0.000224059
          10    -3.85343    -3.85373 0.000204033
          11    -3.85328    -3.85369 0.000189578
          12    -3.85299    -3.85363 0.000182596
          13    -3.85376    -3.85364  0.00016881
          14    -3.85328    -3.85361 0.000158739
          15    -3.85384    -3.85363 0.000148851
          16    -3.85301    -3.85359 0.000144492
          17     -3.8543    -3.85363 0.000141961
          18    -3.85501    -3.85371 0.000153216
          19    -3.85462    -3.85376 0.000152545
          20    -3.85403    -3.85377 0.000145512
