#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00101826
    0.910562   0.0181848
    0.936212    0.173633
    0.961861    0.609995
    0.987511     1.33327
     1.01316     1.94196
     1.03881      2.3857
     1.06446     2.62404
     1.09011     2.59686
     1.11576     2.49855
     1.14141     2.16713
     1.16706     1.86059
     1.19271     1.68408
     1.21836     1.50445
     1.24401     1.36757
     1.26966     1.17777
     1.29531     1.10958
     1.32096    0.991048
     1.34661    0.923673
     1.37226    0.880112
     1.39791    0.793785
     1.42355    0.762308
      1.4492     0.70997
     1.47485    0.750657
      1.5005    0.737044
     1.52615    0.698473
      1.5518    0.709739
     1.57745    0.713209
      1.6031    0.710624
     1.62875    0.711371
      1.6544    0.735235
     1.68005    0.774014
      1.7057    0.782615
     1.73135    0.810139
       1.757    0.825061
     1.78265    0.900863
      1.8083    0.927804
     1.83395    0.964351
      1.8596    0.978838
     1.88525     1.02493
      1.9109     1.08983
     1.93655     1.10333
      1.9622      1.1649
     1.98785     1.19513
      2.0135     1.20788
     2.03915     1.19309
      2.0648      1.1872
     2.09045     1.20347
      2.1161     1.19615
     2.14174     1.16953
     2.16739     1.16003
     2.19304     1.11228
     2.21869     1.08291
     2.24434     1.06386
     2.26999     1.03024
     2.29564     1.00175
     2.32129    0.991024
     2.34694     1.02127
     2.37259    0.989981
     2.39824    0.950486
     2.42389    0.963684
     2.44954    0.932143
     2.47519    0.918928
     2.50084    0.915127
     2.52649    0.937085
     2.55214    0.899096
