#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913 0.000971972
    0.910562   0.0267527
    0.936212    0.159863
    0.961861    0.566041
    0.987511     1.20523
     1.01316     1.85796
     1.03881     2.34211
     1.06446     2.57264
     1.09011     2.58457
     1.11576     2.42073
     1.14141     2.22538
     1.16706     2.01086
     1.19271     1.77585
     1.21836     1.58735
     1.24401      1.4113
     1.26966     1.27888
     1.29531      1.1503
     1.32096     1.03587
     1.34661    0.945719
     1.37226    0.883422
     1.39791    0.814484
     1.42355    0.781409
      1.4492    0.740757
     1.47485    0.714849
      1.5005    0.695883
     1.52615    0.686802
      1.5518    0.663337
     1.57745     0.67464
      1.6031    0.667243
     1.62875    0.687885
      1.6544    0.701256
     1.68005    0.732859
      1.7057    0.758945
     1.73135     0.78725
       1.757    0.823018
     1.78265    0.860956
      1.8083    0.903098
     1.83395    0.945708
      1.8596    0.987747
     1.88525      1.0248
      1.9109     1.07523
     1.93655       1.116
      1.9622     1.14645
     1.98785     1.17425
      2.0135     1.20008
     2.03915     1.21196
      2.0648     1.21647
     2.09045      1.2277
      2.1161      1.2124
     2.14174     1.20294
     2.16739     1.19084
     2.19304     1.16438
     2.21869     1.12808
     2.24434     1.10517
     2.26999     1.07447
     2.29564     1.04429
     2.32129      1.0262
     2.34694     1.00134
     2.37259    0.976569
     2.39824    0.965912
     2.42389    0.944702
     2.44954    0.928657
     2.47519    0.919254
     2.50084    0.899445
     2.52649    0.887731
     2.55214     0.89682
