#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00124968
    0.910562   0.0247856
    0.936212    0.180994
    0.961861    0.589428
    0.987511     1.22943
     1.01316     1.86573
     1.03881     2.39756
     1.06446     2.55795
     1.09011     2.57167
     1.11576     2.37615
     1.14141     2.15642
     1.16706     2.00668
     1.19271     1.72145
     1.21836     1.56398
     1.24401     1.38251
     1.26966     1.30116
     1.29531     1.18317
     1.32096     1.01047
     1.34661    0.942561
     1.37226    0.852819
     1.39791    0.842286
     1.42355    0.777636
      1.4492    0.755926
     1.47485    0.714616
      1.5005    0.711674
     1.52615    0.681356
      1.5518     0.68483
     1.57745    0.694391
      1.6031    0.694617
     1.62875    0.689156
      1.6544    0.707096
     1.68005    0.711505
      1.7057    0.769235
     1.73135    0.807261
       1.757    0.841263
     1.78265    0.878908
      1.8083    0.927017
     1.83395      0.9549
      1.8596    0.988606
     1.88525     1.03065
      1.9109     1.05297
     1.93655      1.0819
      1.9622     1.12528
     1.98785     1.20116
      2.0135     1.19706
     2.03915     1.19729
      2.0648      1.2046
     2.09045     1.20775
      2.1161     1.21193
     2.14174     1.19511
     2.16739     1.16359
     2.19304     1.12695
     2.21869     1.11876
     2.24434     1.09368
     2.26999     1.08706
     2.29564     1.04754
     2.32129     1.00936
     2.34694     1.01111
     2.37259    0.981128
     2.39824    0.971842
     2.42389    0.934838
     2.44954    0.922381
     2.47519    0.916799
     2.50084     0.92076
     2.52649    0.933099
     2.55214    0.913981
