#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00217537
    0.910562   0.0285449
    0.936212    0.179422
    0.961861    0.623628
    0.987511     1.22226
     1.01316     1.94027
     1.03881     2.37109
     1.06446     2.54628
     1.09011     2.61196
     1.11576     2.45924
     1.14141     2.25651
     1.16706     2.02395
     1.19271     1.79908
     1.21836     1.56987
     1.24401     1.42586
     1.26966     1.21806
     1.29531     1.08867
     1.32096    0.976903
     1.34661    0.868868
     1.37226    0.822621
     1.39791    0.793081
     1.42355    0.734354
      1.4492    0.700616
     1.47485    0.706385
      1.5005    0.683954
     1.52615    0.666977
      1.5518    0.703433
     1.57745    0.665726
      1.6031    0.684279
     1.62875    0.701875
      1.6544     0.72586
     1.68005     0.73607
      1.7057    0.780534
     1.73135    0.807684
       1.757    0.859954
     1.78265    0.905892
      1.8083    0.947267
     1.83395    0.984933
      1.8596    0.993145
     1.88525     1.01609
      1.9109     1.08247
     1.93655     1.10008
      1.9622     1.15513
     1.98785     1.18718
      2.0135     1.22936
     2.03915     1.21022
      2.0648      1.1841
     2.09045     1.22209
      2.1161     1.19459
     2.14174     1.18102
     2.16739     1.16905
     2.19304     1.15352
     2.21869     1.12947
     2.24434     1.10774
     2.26999     1.07508
     2.29564     1.01979
     2.32129     1.00352
     2.34694    0.972363
     2.37259    0.938633
     2.39824    0.924788
     2.42389    0.944764
     2.44954    0.946537
     2.47519    0.926489
     2.50084     0.89099
     2.52649    0.873791
     2.55214    0.893843
