#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00124968
    0.910562   0.0245233
    0.936212     0.16834
    0.961861    0.559185
    0.987511      1.2085
     1.01316     1.85521
     1.03881     2.35061
     1.06446     2.59621
     1.09011     2.57756
     1.11576     2.44673
     1.14141     2.23323
     1.16706     1.98696
     1.19271     1.78604
     1.21836     1.57651
     1.24401     1.41725
     1.26966     1.25851
     1.29531     1.12457
     1.32096     1.03147
     1.34661    0.938323
     1.37226    0.883133
     1.39791    0.827411
     1.42355    0.786292
      1.4492    0.747091
     1.47485    0.710317
      1.5005    0.698056
     1.52615    0.680827
      1.5518    0.675228
     1.57745    0.667168
      1.6031    0.686225
     1.62875    0.687202
      1.6544    0.697879
     1.68005    0.729303
      1.7057     0.74381
     1.73135    0.786573
       1.757     0.82856
     1.78265     0.86115
      1.8083    0.906656
     1.83395     0.94795
      1.8596    0.983219
     1.88525     1.03334
      1.9109     1.07334
     1.93655     1.10881
      1.9622     1.14943
     1.98785      1.1792
      2.0135     1.20242
     2.03915     1.21982
      2.0648     1.22704
     2.09045     1.22285
      2.1161     1.21729
     2.14174     1.20147
     2.16739     1.18229
     2.19304     1.16204
     2.21869     1.13467
     2.24434     1.10349
     2.26999     1.07536
     2.29564     1.04461
     2.32129     1.02111
     2.34694    0.993676
     2.37259    0.973794
     2.39824    0.949478
     2.42389    0.936355
     2.44954    0.926018
     2.47519     0.92262
     2.50084    0.903907
     2.52649    0.897866
     2.55214    0.900225
