#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263 4.90889e-05
    0.884913  0.00138853
    0.910562   0.0205454
    0.936212    0.163668
    0.961861     0.55609
    0.987511     1.19431
     1.01316     1.88692
     1.03881     2.35716
     1.06446     2.59138
     1.09011     2.57984
     1.11576     2.41948
     1.14141     2.20758
     1.16706     1.98984
     1.19271     1.76859
     1.21836     1.57038
     1.24401     1.38137
     1.26966     1.26188
     1.29531     1.13202
     1.32096     1.04042
     1.34661    0.951695
     1.37226    0.882267
     1.39791    0.819455
     1.42355    0.785559
      1.4492    0.737823
     1.47485    0.718582
      1.5005    0.700438
     1.52615    0.685868
      1.5518    0.683897
     1.57745    0.687254
      1.6031    0.684857
     1.62875    0.696506
      1.6544    0.706751
     1.68005    0.729534
      1.7057    0.758921
     1.73135    0.801167
       1.757    0.831295
     1.78265    0.863739
      1.8083    0.897678
     1.83395    0.937842
      1.8596    0.982056
     1.88525     1.01651
      1.9109     1.06821
     1.93655     1.09749
      1.9622      1.1402
     1.98785     1.16988
      2.0135     1.19371
     2.03915     1.21336
      2.0648     1.22381
     2.09045     1.22439
      2.1161     1.21823
     2.14174     1.20339
     2.16739     1.18676
     2.19304     1.15625
     2.21869      1.1349
     2.24434     1.10684
     2.26999     1.07606
     2.29564     1.05221
     2.32129     1.02365
     2.34694    0.997841
     2.37259    0.973524
     2.39824    0.959919
     2.42389    0.936676
     2.44954    0.933013
     2.47519    0.919396
     2.50084    0.910079
     2.52649    0.899093
     2.55214    0.895123
