13.575   37.312
13.352   38.111
12.516   38.017
9.6678   39.971
9.3424   40.128
9.1133   39.217
8.5403   39.307
8.7651   39.494
8.6796   40.027
8.9220   40.778
9.5067   40.925
10.340   42.790
11.288   42.775
11.949   42.493
12.483   41.893
12.886   42.415
12.440   42.654
12.403   43.107
11.764   43.517
11.468   43.167
11.256   43.770
11.094   43.936
10.869   43.974
10.402   43.716
10.454   44.018
10.053   44.213
9.6912   44.238
9.6665   44.848
9.4917   45.261
9.1378   45.037
8.9339   44.407
8.7450   44.835
8.2027   44.826
8.2526   44.233
7.8667   43.958
7.5581   44.458
7.6825   45.068
7.3197   45.737
8.0869   45.567
8.3463   45.555
8.5460   45.584
8.3836   46.116
8.7541   45.840
9.1494   45.939
9.1896   45.464
9.2788   45.640
9.4120   45.901
9.7542   45.757
10.258   46.323
10.426   45.780
11.126   46.066
11.230   46.656
12.079   46.281
12.660   45.956
13.236   46.063
13.625   45.944
13.777   45.650
12.335   45.437
12.206   45.807
11.873   45.408
11.406   45.635
10.992   45.438
10.671   45.169
10.037   45.221
10.328   44.801
10.594   44.609
10.936   44.538
11.343   44.494
11.828   44.767
12.274   44.977
12.059   44.364
12.014   44.023
12.631   43.947
12.701   43.694
13.219   43.480
13.151   43.153
13.639   43.092
13.540   42.883
13.698   42.658
13.958   42.310
14.416   42.103
13.610   42.137
13.013   41.460
13.576   41.629
14.208   41.650
14.117   41.204
14.249   40.836
14.706   41.248
14.826   41.717
15.453   41.503
15.141   40.997
15.311   40.419
15.822   40.517
16.474   40.448
16.147   41.180
16.862   41.126
17.081   40.549
17.688   40.636
18.226   40.152
16.878   39.187
16.333   39.597
16.432   38.830
16.099   38.627
15.554   38.194
15.640   38.104
15.087   37.502
15.291   37.065
14.721   36.922
14.281   37.567
14.063   37.490
13.575   37.312
