#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.37313     1.37313           0
           2     1.33816     1.35564   0.0123632
           3     1.32799     1.34642   0.0111618
           4     1.31013     1.33735    0.011482
           5     1.33632     1.33714  0.00918745
           6     1.34378     1.33825   0.0077225
           7     1.28689     1.33091  0.00948486
           8     1.28628     1.32533  0.00980367
           9       1.303     1.32285  0.00902303
          10     1.28985     1.31955  0.00870318
          11     1.29757     1.31755  0.00813815
          12     1.30538     1.31654  0.00752295
          13     1.32014     1.31682  0.00694937
          14     1.32631     1.31749  0.00648599
          15     1.29903     1.31626  0.00616932
          16     1.29999     1.31525  0.00586696
          17     1.31215     1.31506  0.00552466
          18     1.31445     1.31503  0.00521784
          19     1.34215     1.31646  0.00513468
          20     1.32908     1.31709  0.00491659
