#  VELOCITY:   AVE_POFV:      ERROR:
    0.133333    0.019901  0.00585726
         0.4   0.0808194   0.0100571
    0.666667     0.17274   0.0138546
    0.933333    0.302095   0.0157365
         1.2     0.38472   0.0151477
     1.46667    0.476861   0.0235758
     1.73333    0.472146   0.0183771
           2    0.455332   0.0200301
     2.26667     0.42784   0.0122219
     2.53333    0.341618   0.0332098
         2.8    0.222931   0.0213891
     3.06667    0.141632   0.0160653
     3.33333    0.116285    0.010821
         3.6   0.0680278  0.00891062
     3.86667   0.0219583  0.00434518
     4.13333   0.0150556  0.00305521
         4.4   0.0152604  0.00426714
     4.66667  0.00786632  0.00279766
     4.93333  0.00361979  0.00163838
         5.2  0.00261285  0.00212116
     5.46667 0.000678819 0.000643985
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
STOP
    0.133333   0.0207127  0.00381188
         0.4   0.0717552  0.00629925
    0.666667    0.184721  0.00893521
    0.933333    0.315421   0.0101632
         1.2    0.401094   0.0111244
     1.46667     0.50327   0.0157066
     1.73333    0.494464   0.0118173
           2    0.449934   0.0128888
     2.26667    0.404699    0.011014
     2.53333    0.322856   0.0197443
         2.8    0.220992    0.012453
     3.06667     0.13398  0.00954039
     3.33333    0.097974  0.00744811
         3.6   0.0638906  0.00551268
     3.86667    0.022526  0.00305434
     4.13333   0.0211823  0.00294624
         4.4   0.0106936  0.00242941
     4.66667  0.00603385  0.00185631
     4.93333  0.00206684 0.000904471
         5.2   0.0013941   0.0010967
     5.46667  0.00033941 0.000330816
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
STOP
