#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.42406     2.42406           0
           2     2.06648     2.24527    0.126423
           3     2.04897     2.17984   0.0997882
           4     2.00396     2.13587   0.0839715
           5     2.05466     2.11963   0.0687301
           6     1.99302     2.09852   0.0604273
           7     1.97377      2.0807   0.0543595
           8     1.95723     2.06527   0.0497074
           9     1.96705     2.05435   0.0453666
          10     2.03284      2.0522    0.040881
          11     2.06291     2.05318   0.0371761
          12     2.00656     2.04929   0.0342804
          13     1.99002     2.04473   0.0319452
          14     2.00764     2.04208    0.029773
          15     1.98391     2.03821   0.0280397
          16     1.99447     2.03547   0.0264201
          17     1.94838     2.03035   0.0253578
          18     1.99062     2.02814   0.0240449
          19     2.00724     2.02704   0.0228045
          20     2.05969     2.02867   0.0217227
