#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59572     1.59572           0
           2     1.59728      1.5965 0.000553782
           3     1.59721     1.59674 0.000417107
           4     1.59727     1.59687 0.000333491
           5     1.59704     1.59691 0.000268549
           6     1.59721     1.59696 0.000228427
           7     1.59728       1.597  0.00020033
           8     1.59728     1.59704  0.00017837
           9     1.59724     1.59706 0.000159917
          10     1.59722     1.59708 0.000144702
          11     1.59726     1.59709 0.000132535
          12     1.59723      1.5971 0.000122013
          13     1.59725     1.59712 0.000113143
          14     1.59724     1.59712 0.000105404
          15     1.59725     1.59713 9.87231e-05
          16     1.59724     1.59714 9.27933e-05
          17     1.59721     1.59714 8.74151e-05
          18     1.59731     1.59715 8.30208e-05
          19     1.59727     1.59716 7.88728e-05
          20     1.59711     1.59716 7.49601e-05
