#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.828341   -0.828341           0
           2   -0.469196   -0.648769    0.126977
           3   -0.451759   -0.583099    0.100204
           4   -0.406685   -0.538995   0.0843018
           5   -0.457613   -0.522719   0.0689948
           6   -0.395815   -0.501568    0.060651
           7   -0.376494   -0.483701   0.0545551
           8   -0.359944   -0.468231   0.0498808
           9   -0.369809   -0.457295   0.0455214
          10   -0.435623   -0.455128   0.0410209
          11   -0.465646   -0.456084   0.0373028
          12   -0.409327   -0.452188   0.0343972
          13   -0.392774   -0.447617   0.0320534
          14   -0.410406   -0.444959   0.0298739
          15   -0.386654   -0.441072    0.028134
          16   -0.397225   -0.438332   0.0265088
          17   -0.351174   -0.433205   0.0254404
          18   -0.393316   -0.430989   0.0241234
          19    -0.40997   -0.429883   0.0228791
          20   -0.462575   -0.431517   0.0217934
