#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.61604     1.61604           0
           2     1.37765     1.49685    0.084282
           3     1.36598     1.45322   0.0665255
           4     1.33597     1.42391    0.055981
           5     1.36977     1.41308     0.04582
           6     1.32868     1.39902   0.0402849
           7     1.31585     1.38714   0.0362397
           8     1.30482     1.37685   0.0331383
           9     1.31136     1.36957   0.0302444
          10     1.35523     1.36814    0.027254
          11     1.37527     1.36878   0.0247841
          12     1.33771     1.36619   0.0228536
          13     1.32668     1.36316   0.0212968
          14     1.33843     1.36139   0.0198487
          15      1.3226      1.3588   0.0186931
          16     1.32965     1.35698   0.0176134
          17     1.29892     1.35357   0.0169052
          18     1.32708     1.35209   0.0160299
          19     1.33816     1.35136    0.015203
          20     1.37313     1.35245   0.0144818
