#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00171252
    0.910562   0.0246107
    0.936212     0.17078
    0.961861    0.567255
    0.987511     1.19382
     1.01316     1.86481
     1.03881     2.31349
     1.06446     2.57814
     1.09011     2.57075
     1.11576     2.44932
     1.14141     2.22407
     1.16706     1.99567
     1.19271     1.79396
     1.21836     1.57411
     1.24401     1.39305
     1.26966     1.25424
     1.29531     1.12627
     1.32096     1.04198
     1.34661    0.949756
     1.37226    0.883326
     1.39791    0.830249
     1.42355    0.777349
      1.4492    0.743622
     1.47485    0.715232
      1.5005    0.700648
     1.52615    0.692606
      1.5518    0.683686
     1.57745    0.686482
      1.6031    0.689483
     1.62875    0.690836
      1.6544    0.704977
     1.68005    0.732924
      1.7057    0.750512
     1.73135    0.786089
       1.757    0.830556
     1.78265    0.858561
      1.8083    0.906855
     1.83395    0.943995
      1.8596    0.981301
     1.88525     1.02878
      1.9109      1.0615
     1.93655     1.10264
      1.9622     1.14428
     1.98785     1.16242
      2.0135     1.19451
     2.03915     1.21019
      2.0648     1.22132
     2.09045     1.22301
      2.1161      1.2248
     2.14174     1.20588
     2.16739     1.18273
     2.19304     1.16375
     2.21869     1.14056
     2.24434     1.10212
     2.26999     1.07794
     2.29564     1.04743
     2.32129     1.01884
     2.34694    0.996097
     2.37259    0.977477
     2.39824    0.956844
     2.42389    0.942734
     2.44954    0.929364
     2.47519    0.914249
     2.50084    0.906254
     2.52649    0.895334
     2.55214    0.900392
