#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913 0.000601697
    0.910562   0.0223376
    0.936212    0.161765
    0.961861    0.592484
    0.987511     1.25143
     1.01316     1.95813
     1.03881     2.46907
     1.06446      2.5957
     1.09011     2.55386
     1.11576      2.3216
     1.14141     2.17931
     1.16706     1.92877
     1.19271     1.75052
     1.21836      1.5495
     1.24401     1.42387
     1.26966     1.29111
     1.29531     1.14433
     1.32096     1.04416
     1.34661    0.916997
     1.37226    0.839327
     1.39791    0.798682
     1.42355    0.758302
      1.4492    0.724104
     1.47485    0.755789
      1.5005    0.717196
     1.52615    0.685977
      1.5518    0.693544
     1.57745    0.687778
      1.6031    0.676847
     1.62875    0.691219
      1.6544    0.731739
     1.68005    0.741835
      1.7057    0.779961
     1.73135    0.795738
       1.757    0.829217
     1.78265     0.83932
      1.8083    0.876596
     1.83395    0.950794
      1.8596    0.983261
     1.88525     1.06018
      1.9109      1.0993
     1.93655     1.13071
      1.9622     1.13859
     1.98785     1.16285
      2.0135     1.19543
     2.03915     1.23287
      2.0648     1.25418
     2.09045      1.2014
      2.1161     1.17425
     2.14174     1.17625
     2.16739     1.15141
     2.19304     1.16983
     2.21869     1.11354
     2.24434     1.10284
     2.26999     1.07519
     2.29564     1.02565
     2.32129     1.01602
     2.34694    0.989445
     2.37259    0.967987
     2.39824    0.965629
     2.42389    0.963178
     2.44954    0.963287
     2.47519    0.933203
     2.50084    0.902835
     2.52649    0.893295
     2.55214    0.911794
