#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00189766
    0.910562   0.0213322
    0.936212    0.158085
    0.961861    0.608154
    0.987511     1.19483
     1.01316     1.88162
     1.03881     2.39383
     1.06446     2.54737
     1.09011     2.56734
     1.11576     2.46836
     1.14141     2.24722
     1.16706     1.94175
     1.19271     1.79348
     1.21836     1.60996
     1.24401     1.36439
     1.26966     1.24814
     1.29531     1.13088
     1.32096     1.04374
     1.34661    0.954833
     1.37226    0.873779
     1.39791    0.833718
     1.42355    0.769462
      1.4492    0.708658
     1.47485    0.704519
      1.5005    0.723538
     1.52615    0.672175
      1.5518     0.67604
     1.57745    0.684938
      1.6031    0.686507
     1.62875    0.685617
      1.6544       0.692
     1.68005    0.690434
      1.7057     0.72333
     1.73135    0.749683
       1.757    0.797189
     1.78265    0.887986
      1.8083    0.893887
     1.83395    0.955417
      1.8596     1.02134
     1.88525     1.06168
      1.9109     1.07617
     1.93655     1.14808
      1.9622     1.19072
     1.98785     1.17092
      2.0135     1.21087
     2.03915     1.21451
      2.0648     1.21195
     2.09045     1.21648
      2.1161     1.21145
     2.14174      1.2116
     2.16739     1.19345
     2.19304     1.15266
     2.21869     1.11879
     2.24434      1.1045
     2.26999     1.05126
     2.29564     1.03571
     2.32129    0.996856
     2.34694    0.988813
     2.37259    0.935562
     2.39824    0.943945
     2.42389    0.918842
     2.44954    0.906689
     2.47519    0.911936
     2.50084    0.913991
     2.52649    0.913004
     2.55214    0.915333
