#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00106454
    0.910562   0.0212011
    0.936212    0.166479
    0.961861    0.567765
    0.987511     1.20308
     1.01316     1.85991
     1.03881     2.34117
     1.06446     2.57954
     1.09011     2.55145
     1.11576     2.43491
     1.14141     2.20402
     1.16706     1.98619
     1.19271     1.79526
     1.21836     1.58225
     1.24401     1.39994
     1.26966     1.25453
     1.29531     1.14241
     1.32096     1.04136
     1.34661    0.964027
     1.37226    0.900937
     1.39791    0.834459
     1.42355    0.791085
      1.4492     0.76528
     1.47485    0.717215
      1.5005    0.702853
     1.52615    0.681402
      1.5518    0.680465
     1.57745    0.685025
      1.6031    0.675169
     1.62875     0.69391
      1.6544    0.698223
     1.68005    0.732397
      1.7057    0.749465
     1.73135    0.778907
       1.757    0.831542
     1.78265     0.84987
      1.8083    0.891327
     1.83395    0.935708
      1.8596    0.975359
     1.88525     1.02614
      1.9109     1.06841
     1.93655     1.09225
      1.9622     1.12845
     1.98785     1.16637
      2.0135     1.19374
     2.03915     1.20165
      2.0648     1.22355
     2.09045     1.21421
      2.1161     1.22575
     2.14174     1.21008
     2.16739     1.19237
     2.19304     1.16719
     2.21869     1.14407
     2.24434     1.11903
     2.26999     1.08136
     2.29564     1.05135
     2.32129     1.03312
     2.34694     1.00052
     2.37259    0.987702
     2.39824    0.967286
     2.42389    0.951309
     2.44954    0.930621
     2.47519    0.923531
     2.50084    0.902864
     2.52649    0.889565
     2.55214    0.888462
