#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00106454
    0.910562   0.0165237
    0.936212    0.184839
    0.961861    0.589977
    0.987511     1.29492
     1.01316     1.89377
     1.03881     2.30936
     1.06446     2.48118
     1.09011     2.51976
     1.11576     2.36806
     1.14141     2.24163
     1.16706     1.99777
     1.19271     1.72606
     1.21836     1.54052
     1.24401     1.40106
     1.26966     1.28902
     1.29531     1.13256
     1.32096     1.03957
     1.34661    0.980017
     1.37226    0.902226
     1.39791    0.826818
     1.42355    0.774112
      1.4492    0.749489
     1.47485    0.713083
      1.5005    0.724955
     1.52615    0.704059
      1.5518    0.698511
     1.57745    0.715481
      1.6031    0.747658
     1.62875    0.735731
      1.6544    0.700607
     1.68005    0.741424
      1.7057    0.774978
     1.73135    0.776247
       1.757    0.803846
     1.78265    0.845696
      1.8083    0.879034
     1.83395     0.90755
      1.8596    0.928467
     1.88525     1.01031
      1.9109     1.03126
     1.93655      1.1001
      1.9622     1.12722
     1.98785     1.15786
      2.0135     1.16323
     2.03915     1.20371
      2.0648     1.22343
     2.09045     1.23979
      2.1161     1.21911
     2.14174     1.19728
     2.16739     1.19405
     2.19304      1.1605
     2.21869     1.12636
     2.24434     1.08915
     2.26999     1.06435
     2.29564      1.0776
     2.32129     1.06241
     2.34694     1.02109
     2.37259    0.978353
     2.39824    0.941418
     2.42389    0.949742
     2.44954    0.954365
     2.47519    0.951543
     2.50084    0.939652
     2.52649    0.914969
     2.55214    0.901689
