#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00175881
    0.910562   0.0243922
    0.936212    0.168051
    0.961861    0.560831
    0.987511     1.18895
     1.01316     1.87544
     1.03881     2.33704
     1.06446     2.55834
     1.09011     2.56456
     1.11576     2.42809
     1.14141     2.22688
     1.16706     2.01043
     1.19271     1.77564
     1.21836     1.56633
     1.24401     1.41038
     1.26966     1.24866
     1.29531     1.13731
     1.32096     1.03394
     1.34661    0.953614
     1.37226    0.894258
     1.39791    0.829823
     1.42355     0.78563
      1.4492    0.758739
     1.47485    0.722281
      1.5005    0.703932
     1.52615    0.697384
      1.5518     0.68322
     1.57745    0.682986
      1.6031    0.684307
     1.62875    0.693664
      1.6544    0.711386
     1.68005    0.735171
      1.7057    0.754859
     1.73135    0.785884
       1.757    0.813579
     1.78265    0.857204
      1.8083    0.886616
     1.83395    0.931667
      1.8596    0.980683
     1.88525     1.02618
      1.9109     1.05131
     1.93655     1.08757
      1.9622     1.13841
     1.98785     1.16498
      2.0135     1.19047
     2.03915     1.20352
      2.0648     1.23193
     2.09045     1.23954
      2.1161     1.23372
     2.14174     1.21491
     2.16739     1.18747
     2.19304     1.17297
     2.21869     1.13534
     2.24434     1.11028
     2.26999     1.07905
     2.29564     1.05847
     2.32129     1.02861
     2.34694     1.00868
     2.37259     0.97731
     2.39824    0.960966
     2.42389     0.93936
     2.44954    0.924683
     2.47519    0.911025
     2.50084    0.895626
     2.52649    0.887788
     2.55214    0.889931
