#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913 0.000971972
    0.910562   0.0250041
    0.936212    0.160318
    0.961861    0.565022
    0.987511     1.18048
     1.01316     1.85631
     1.03881     2.32891
     1.06446     2.56662
     1.09011     2.55624
     1.11576     2.42533
     1.14141     2.20858
     1.16706     1.99181
     1.19271     1.79608
     1.21836     1.58246
     1.24401     1.41331
     1.26966     1.27043
     1.29531      1.1377
     1.32096     1.03913
     1.34661    0.947957
     1.37226    0.886482
     1.39791    0.835127
     1.42355    0.785988
      1.4492    0.743639
     1.47485    0.722114
      1.5005    0.700632
     1.52615    0.698769
      1.5518    0.686862
     1.57745    0.677626
      1.6031    0.688764
     1.62875    0.692175
      1.6544    0.710419
     1.68005    0.726722
      1.7057    0.749303
     1.73135    0.783393
       1.757     0.81912
     1.78265     0.85677
      1.8083    0.904239
     1.83395    0.938736
      1.8596    0.991761
     1.88525     1.01687
      1.9109     1.06553
     1.93655     1.09409
      1.9622     1.13032
     1.98785     1.15634
      2.0135     1.18836
     2.03915     1.20689
      2.0648      1.2244
     2.09045     1.22172
      2.1161     1.23341
     2.14174     1.21139
     2.16739     1.19264
     2.19304     1.17086
     2.21869     1.14426
     2.24434     1.11405
     2.26999     1.08544
     2.29564     1.04496
     2.32129     1.01632
     2.34694    0.995604
     2.37259    0.979493
     2.39824    0.955622
     2.42389    0.943795
     2.44954    0.935701
     2.47519    0.920603
     2.50084    0.904649
     2.52649    0.898763
     2.55214    0.890198
