#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00185137
    0.910562   0.0253538
    0.936212    0.146838
    0.961861    0.607449
    0.987511     1.28934
     1.01316      1.9801
     1.03881     2.46782
     1.06446     2.58393
     1.09011     2.54791
     1.11576     2.44725
     1.14141     2.22441
     1.16706     1.93928
     1.19271      1.7053
     1.21836     1.53109
     1.24401     1.36984
     1.26966     1.28401
     1.29531      1.1574
     1.32096      1.0518
     1.34661     0.92845
     1.37226     0.83515
     1.39791    0.775461
     1.42355    0.740596
      1.4492    0.738031
     1.47485    0.720248
      1.5005    0.701919
     1.52615    0.686678
      1.5518    0.657633
     1.57745    0.661546
      1.6031    0.660755
     1.62875     0.67052
      1.6544    0.661702
     1.68005    0.721598
      1.7057    0.769186
     1.73135    0.826679
       1.757    0.840641
     1.78265    0.869829
      1.8083    0.923636
     1.83395    0.979728
      1.8596     1.02535
     1.88525     1.04822
      1.9109     1.08902
     1.93655     1.11889
      1.9622     1.16559
     1.98785     1.16101
      2.0135     1.17007
     2.03915     1.23201
      2.0648     1.24547
     2.09045     1.23949
      2.1161     1.22185
     2.14174     1.20766
     2.16739      1.1901
     2.19304      1.1571
     2.21869     1.12929
     2.24434     1.11358
     2.26999     1.10428
     2.29564     1.04408
     2.32129     1.00272
     2.34694     0.98397
     2.37259    0.949315
     2.39824     0.92809
     2.42389    0.933154
     2.44954    0.916691
     2.47519    0.898749
     2.50084      0.8747
     2.52649    0.893301
     2.55214    0.877444
