#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00120339
    0.910562   0.0251353
    0.936212    0.160649
    0.961861    0.574659
    0.987511     1.21415
     1.01316     1.88925
     1.03881     2.38228
     1.06446     2.58799
     1.09011     2.59204
     1.11576     2.41202
     1.14141     2.22847
     1.16706     2.00277
     1.19271     1.73078
     1.21836     1.55312
     1.24401     1.40664
     1.26966     1.26008
     1.29531     1.12321
     1.32096     1.02742
     1.34661    0.944619
     1.37226    0.885501
     1.39791    0.823535
     1.42355    0.782661
      1.4492     0.75282
     1.47485    0.726663
      1.5005    0.699311
     1.52615    0.685806
      1.5518    0.679457
     1.57745    0.683161
      1.6031    0.684166
     1.62875    0.687489
      1.6544    0.709492
     1.68005    0.725206
      1.7057    0.747024
     1.73135     0.77846
       1.757    0.832258
     1.78265    0.865826
      1.8083    0.903075
     1.83395    0.943337
      1.8596     0.99044
     1.88525     1.03491
      1.9109     1.05885
     1.93655      1.1054
      1.9622     1.14103
     1.98785     1.16919
      2.0135     1.19561
     2.03915     1.21184
      2.0648     1.22175
     2.09045     1.23331
      2.1161      1.2282
     2.14174      1.2074
     2.16739     1.18333
     2.19304     1.15845
     2.21869     1.13252
     2.24434     1.10908
     2.26999     1.07872
     2.29564      1.0434
     2.32129     1.02079
     2.34694     1.00245
     2.37259    0.980342
     2.39824     0.95542
     2.42389    0.942759
     2.44954    0.927842
     2.47519    0.918408
     2.50084    0.899393
     2.52649    0.890666
     2.55214    0.897154
