#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913 0.000879403
    0.910562   0.0249604
    0.936212    0.164495
    0.961861    0.564787
    0.987511      1.2201
     1.01316      1.8627
     1.03881     2.35511
     1.06446     2.55776
     1.09011     2.58225
     1.11576     2.42419
     1.14141     2.23548
     1.16706      1.9805
     1.19271     1.77771
     1.21836     1.57455
     1.24401     1.40818
     1.26966     1.26757
     1.29531     1.14427
     1.32096     1.04518
     1.34661    0.973941
     1.37226    0.887926
     1.39791    0.818175
     1.42355     0.79037
      1.4492    0.742017
     1.47485    0.716765
      1.5005    0.700052
     1.52615    0.680811
      1.5518    0.664873
     1.57745    0.663964
      1.6031    0.670627
     1.62875    0.683732
      1.6544    0.708764
     1.68005    0.725527
      1.7057    0.747609
     1.73135    0.774059
       1.757    0.814471
     1.78265    0.862074
      1.8083    0.895206
     1.83395    0.951484
      1.8596    0.994014
     1.88525     1.03561
      1.9109     1.06747
     1.93655     1.10571
      1.9622     1.14191
     1.98785      1.1773
      2.0135     1.19652
     2.03915     1.22708
      2.0648     1.23459
     2.09045      1.2364
      2.1161     1.21954
     2.14174     1.20769
     2.16739     1.19466
     2.19304     1.16905
     2.21869     1.14385
     2.24434     1.11107
     2.26999     1.08016
     2.29564     1.04526
     2.32129     1.02201
     2.34694    0.995966
     2.37259    0.977452
     2.39824    0.952074
     2.42389    0.930334
     2.44954    0.919325
     2.47519    0.911267
     2.50084    0.895452
     2.52649    0.886317
     2.55214    0.890977
