#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00124968
    0.910562    0.024261
    0.936212     0.16375
    0.961861    0.574934
    0.987511     1.20174
     1.01316     1.86591
     1.03881     2.36243
     1.06446     2.54951
     1.09011     2.55492
     1.11576     2.41127
     1.14141     2.21487
     1.16706      2.0029
     1.19271     1.78079
     1.21836     1.59392
     1.24401     1.44882
     1.26966     1.27985
     1.29531     1.15768
     1.32096      1.0486
     1.34661    0.942721
     1.37226    0.879958
     1.39791    0.813093
     1.42355    0.771823
      1.4492    0.739549
     1.47485    0.703819
      1.5005    0.686144
     1.52615    0.672315
      1.5518    0.673753
     1.57745    0.661852
      1.6031    0.672813
     1.62875    0.678021
      1.6544    0.707427
     1.68005    0.729187
      1.7057    0.759606
     1.73135    0.790176
       1.757     0.82087
     1.78265    0.857546
      1.8083      0.9157
     1.83395    0.954545
      1.8596    0.994381
     1.88525     1.03366
      1.9109     1.07877
     1.93655     1.11562
      1.9622     1.14888
     1.98785     1.17563
      2.0135     1.18649
     2.03915     1.20827
      2.0648     1.20828
     2.09045     1.22742
      2.1161     1.21249
     2.14174     1.19944
     2.16739     1.18674
     2.19304      1.1589
     2.21869     1.13836
     2.24434     1.10795
     2.26999      1.0818
     2.29564     1.05719
     2.32129     1.03092
     2.34694    0.999881
     2.37259    0.970569
     2.39824     0.95024
     2.42389    0.939656
     2.44954     0.92011
     2.47519    0.911812
     2.50084    0.901247
     2.52649    0.895271
     2.55214    0.894327
