#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00291592
    0.910562   0.0274958
    0.936212    0.187734
    0.961861    0.572191
    0.987511     1.18836
     1.01316     1.85917
     1.03881     2.36384
     1.06446     2.66498
     1.09011     2.60427
     1.11576     2.40201
     1.14141     2.14693
     1.16706     1.99058
     1.19271     1.78856
     1.21836     1.59006
     1.24401     1.44397
     1.26966     1.25752
     1.29531     1.11508
     1.32096     1.05446
     1.34661    0.942501
     1.37226    0.867062
     1.39791    0.816042
     1.42355     0.75959
      1.4492    0.734683
     1.47485    0.706218
      1.5005    0.703352
     1.52615    0.672502
      1.5518    0.659379
     1.57745    0.668202
      1.6031    0.685351
     1.62875    0.698419
      1.6544     0.70593
     1.68005    0.757745
      1.7057    0.772026
     1.73135    0.781664
       1.757    0.828642
     1.78265    0.872407
      1.8083    0.907598
     1.83395    0.962109
      1.8596     1.01094
     1.88525     1.05732
      1.9109     1.08682
     1.93655     1.10849
      1.9622     1.15755
     1.98785     1.15957
      2.0135     1.16273
     2.03915     1.19453
      2.0648     1.21021
     2.09045     1.23195
      2.1161     1.16486
     2.14174     1.17995
     2.16739     1.18895
     2.19304      1.1573
     2.21869     1.15961
     2.24434     1.08869
     2.26999      1.0734
     2.29564      1.0465
     2.32129     1.01025
     2.34694     1.02083
     2.37259     0.97297
     2.39824    0.945344
     2.42389    0.919107
     2.44954    0.933254
     2.47519    0.928625
     2.50084    0.908526
     2.52649     0.89668
     2.55214    0.874401
